Room_name,Width,Height,Distance_to_edges_hor,Distance_to_edges_vert,Distance_to_next
Administration,"[0.915, 0.915, 0.915, 0.915]","[2.134, 2.134, 2.134, 2.134]","[0.224, 3.045, 7.184, 2.507]","[0.666, 2.039, 3.575, 2.134]","[0.0, 0.375, 0.938, 0.0]"
Corridor,"[0.9, 1.076896551724138, 2.1, 0.915]","[2.0, 2.0761379310344825, 2.134, 2.134]","[0.1, 3.714, 10.938, 0.1]","[0.6, 2.033, 3.575, 2.85]","[0.0, 1.42, 4.194, 0.0]"
Kitchen,"[1.8, 1.8, 1.8, 1.8]","[2.0, 2.0, 2.0, 2.0]","[0.065, 3.05, 6.035, 1.965]","[0.7, 2.13, 3.575, 3.575]","[0.0, 0.0, 0.0, 0.0]"
Meeting room,"[0.915, 0.915, 0.915, 0.915]","[2.134, 2.134, 2.134, 2.134]","[0.2, 3.648, 10.431, 0.2]","[0.666, 2.072, 3.575, 2.134]","[0.0, 0.8, 3.301, 0.0]"
Service room,"[0.915, 0.915, 0.915, 0.915]","[2.134, 2.134, 2.134, 2.134]","[0.2, 4.227, 10.431, 0.2]","[0.716, 1.9, 2.85, 2.85]","[0.0, 1.65, 3.301, 0.0]"
Stair,"[1.35, 1.35, 1.35, 1.35]","[2.0, 2.0, 2.0, 2.0]","[0.546, 3.27, 7.492, 0.546]","[0.7, 2.086, 3.575, 2.1]","[0.0, 1.178, 2.357, 0.0]"
Vest.,"[2.1, 2.1, 2.1, 2.1]","[2.0, 2.0, 2.0, 2.0]","[0.119, 2.869, 10.557, 2.681]","[0.75, 1.9, 2.85, 2.85]","[0.0, 0.0, 0.0, 0.0]"
WC Men,"[0.762, 0.762, 0.762, 0.762]","[2.032, 2.032, 2.032, 2.032]","[0.109, 1.289, 2.47, 2.47]","[0.768, 2.144, 3.575, 3.575]","[0.0, 0.0, 0.0, 0.0]"
WC Men Entr.,"[0.762, 0.831, 0.9, 0.762]","[2.032, 2.066, 2.1, 2.032]","[0.1, 2.057, 6.842, 0.1]","[0.6, 2.042, 3.575, 2.85]","[0.0, 0.589, 2.357, 0.0]"
WC Women,"[0.762, 0.762, 0.762, 0.762]","[2.032, 2.032, 2.032, 2.032]","[0.109, 1.29, 2.47, 0.119]","[0.768, 2.011, 3.575, 2.032]","[0.0, 0.0, 0.0, 0.0]"
WC Women Entr.,"[0.762, 0.762, 0.762, 0.762]","[2.032, 2.032, 2.032, 2.032]","[0.119, 1.289, 2.46, 0.119]","[0.768, 2.052, 3.575, 2.032]","[0.0, 0.0, 0.0, 0.0]"
