Room_name,Width,Height,Distance_to_edges_hor,Distance_to_edges_vert,Distance_to_next
Administration,[0.915],[2.134],"[0.224, 7.184]","[0.716, 2.85]",[0.0]
Corridor,[0.915],[2.134],"[0.1, 1.996]","[0.75, 2.85]",[0.0]
Kitchen,[1.8],[2.0],"[0.065, 6.035]","[0.7, 3.575]",[0.0]
Meeting room,[0.915],[2.134],"[0.2, 2.431]","[0.666, 3.575]",[0.0]
Service room,[0.915],[2.134],"[0.2, 10.431]","[0.716, 2.85]",[0.0]
Stair,[1.35],[2.0],"[0.546, 1.996]","[0.75, 2.85]",[0.0]
Vest.,[2.1],[2.0],"[0.119, 10.557]","[0.75, 2.85]",[0.0]
WC Men,[0.762],[2.032],"[0.109, 2.47]","[0.768, 3.575]",[0.0]
WC Men Entr.,[0.9],[2.1],"[0.1, 2.47]","[0.65, 2.85]",[0.0]
WC Women,[0.762],[2.032],"[0.119, 2.46]","[0.818, 2.85]",[0.0]
WC Women Entr.,[0.762],[2.032],"[0.119, 2.46]","[0.818, 2.85]",[0.0]
