Room_name,Distance_to_nonparallel,Distance_to_parallel
Administration,"[nan, nan, nan]","[0.718, 2.756, 3.575]"
Corridor,"[nan, nan, nan]","[0.718, 2.756, 3.575]"
Kitchen,"[nan, nan, nan]","[0.718, 2.736, 3.575]"
Meeting room,"[nan, nan, nan]","[0.718, 2.756, 3.575]"
Office,"[nan, nan, nan]","[0.718, 2.756, 3.575]"
Service room,"[nan, nan, nan]","[2.8, 3.023, 3.575]"
Stair,"[nan, nan, nan]","[0.718, 2.756, 3.575]"
Vest.,"[nan, nan, nan]","[2.8, 3.023, 3.575]"
WC Men,"[nan, nan, nan]","[0.718, 2.736, 3.575]"
WC Men Entr.,"[nan, nan, nan]","[0.718, 2.756, 3.575]"
WC Women,"[nan, nan, nan]","[0.718, 2.756, 3.575]"
WC Women Entr.,"[nan, nan, nan]","[0.718, 2.756, 3.575]"
