Family,Distance_to_nearest
Bar Chair,"[2.27, 4.197500000000001, 8.305333333333332]"
Bathtub-TOTO-Nexus-FBF794S,"[0.101, 1.633, 3.079]"
Cabinet 1,"[0.27, 5.831, 11.45]"
Dining Chair (3),"[1.611125, 5.868, 10.19275]"
Faucet-8inch_Reach-Kohler-Purist-7507,"[2.865, 4.094, 8.338]"
Lavatory-TOTO-Luminist_Rectangle_Vessel_LLT151,"[0.16, 0.9569999999999999, 1.85975]"
M_Shower Stall-2D,"[0.0, 0.9809999999999999, 2.3436666666666666]"
M_TV - Flat Screen,"[0.105, 5.865, 11.615]"
Miele Built-under Dishwasher G 4101 U CS,"[2.622, 4.216, 7.512]"
Miele Induction Cooktop KM 6350 LPT,"[0.517, 3.866, 8.262]"
Miele Washing Machine W 5820 WPS,"[0.302, 1.283, 1.874]"
SH_Lighting-Pendant-Litecontrol-Mod66-8_Foot_09,"[1.772, 4.8870000000000005, 8.928]"
Seat - Single with Island,"[0.7, 4.731, 6.625]"
Seating - Artemis - Lounge chair,"[1.271, 4.734, 6.4399999999999995]"
Side Table 2 (2),"[1.2405, 4.7375, 8.175]"
Sink-Offset-Kohler-Vault-3823_4,"[2.926, 4.121, 8.263]"
Sofa - Ottoman,"[2.7214285714285715, 5.072285714285714, 7.651428571428572]"
Table-Dining 01 (M),"[2.1385, 5.8629999999999995, 10.1865]"
Trck_BswySystms_Cooper_RSA_Profile Series_AR111 Closed Back Integral Xfmr,"[1.602, 4.6265, 6.697375]"
Walvit_Hung Bowl_604118 W,"[0.49525, 0.9867499999999999, 1.7120000000000002]"
Water Glass,"[1.950625, 5.864375, 10.188]"
White Porcelain Plate,"[1.8791250000000002, 5.86625, 10.1915]"
aalto vase - tall,"[1.673, 4.524, 6.391]"
fire place hang,"[1.187, 3.781, 10.52]"
