Room_name,,Distance_to_nearest_mi,Distance_to_nearest_mean,Distance_to_nearest_ma
Breakout space,mean,2.02,3.724999999999999,6.727142857142858
Breakout space,min,1.7,3.2825,5.45
Breakout space,max,2.8,4.3100000000000005,9.65
Confidential meetings room,mean,0.7924242424242425,1.7396212121212122,2.8639393939393942
Confidential meetings room,min,0.53,1.145,1.48
Confidential meetings room,max,1.1,1.8425,3.87
Enclosed office,mean,1.0630263157894735,2.1415789473684215,3.5368421052631582
Enclosed office,min,0.68,1.4525,1.94
Enclosed office,max,1.44,2.4325,5.23
Meeting room,mean,1.6446982758620692,3.4614331896551724,5.9535775862068965
Meeting room,min,0.87,2.2075,2.98
Meeting room,max,2.8,4.465,9.18
Open office,mean,1.5399999999999998,2.65,3.58
Open office,min,1.34,2.4,2.76
Open office,max,1.74,2.9000000000000004,4.2
Toilet,mean,0.15,2.1141640211640214,4.178571428571429
Toilet,min,0.0,1.63375,2.95
Toilet,max,0.21,2.405,4.67
