,Level_Id,Level_name,Room_uniqueId,Room_Id,Room_number,Room_name,ElementId,Element_uniqueId,Family,Typ,Category
0,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,359726,69a69155-af3a-4ab9-a082-58da18f85acb-00057d2e,M_Door-Passage-Single-Flush,M_Door-Passage-Single-Flush,Doors
1,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,359780,69a69155-af3a-4ab9-a082-58da18f85acb-00057d64,M_Door-Passage-Single-Flush,M_Door-Passage-Single-Flush,Doors
2,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,362868,69a69155-af3a-4ab9-a082-58da18f85acb-00058974,M_Door-Passage-Uneven-Flush,1350 x 2000mm,Doors
3,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,372407,69a69155-af3a-4ab9-a082-58da18f85acb-0005aeb7,M_Door-Passage-Single-Two_Lite,1050 x 2000mm,Doors
4,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,372476,69a69155-af3a-4ab9-a082-58da18f85acb-0005aefc,M_Door-Passage-Single-Two_Lite,1050 x 2000mm,Doors
5,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,372678,69a69155-af3a-4ab9-a082-58da18f85acb-0005afc6,M_Single-Flush,0915 x 2134mm,Doors
6,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,372808,69a69155-af3a-4ab9-a082-58da18f85acb-0005b048,M_Single-Flush,0915 x 2134mm,Doors
7,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,373041,69a69155-af3a-4ab9-a082-58da18f85acb-0005b131,M_Single-Flush,0915 x 2134mm,Doors
8,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,373253,69a69155-af3a-4ab9-a082-58da18f85acb-0005b205,M_Door-Passage-Single-Two_Lite,1050 x 2000mm,Doors
9,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,387727,69a69155-af3a-4ab9-a082-58da18f85acb-0005ea8f,M_Door-Exterior-Double-Two_Lite,2100 x 2000mm,Doors
10,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,391619,69a69155-af3a-4ab9-a082-58da18f85acb-0005f9c3,M_Fixed,1200 x 1830mm,Windows
11,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,391847,69a69155-af3a-4ab9-a082-58da18f85acb-0005faa7,M_Fixed,0915 x 1830mm,Windows
12,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,391985,69a69155-af3a-4ab9-a082-58da18f85acb-0005fb31,M_Fixed,0915 x 1830mm,Windows
13,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,Floor,Generic 150mm,Floors
14,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,349649,69a69155-af3a-4ab9-a082-58da18f85acb-000555d1,Floor,Generic 150mm,Floors
15,311,Level 1,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,393139,005,Corridor,348774,69a69155-af3a-4ab9-a082-58da18f85acb-00055266,Basic Wall,Generic - 300mm,Walls
