,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Type,Normal_to_center_room
0,857191,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1467,418183,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,Generic 300,"(0.000000000, 0.000000000, -1.000000000)"
1,857191,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1467,428588,c85e5be0-d8d5-4148-836f-b55e711ef373-00068a2c,SIP 202mm Wall - conc clad,"(0.000000000, 1.000000000, 0.000000000)"
2,857191,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1467,428797,c85e5be0-d8d5-4148-836f-b55e711ef373-00068afd,SH_Curtain wall,"(-1.000000000, 0.000000000, 0.000000000)"
3,857191,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1467,428745,c85e5be0-d8d5-4148-836f-b55e711ef373-00068ac9,SIP 202mm Wall - conc clad,"(0.000000000, -1.000000000, 0.000000000)"
4,857191,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1467,430859,2fc77d67-1af0-4a43-aa66-c544d411df04-0006930b,Interior - Partition,"(1.000000000, 0.000000000, 0.000000000)"
5,857191,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1467,430064,2fc77d67-1af0-4a43-aa66-c544d411df04-00068ff0,Interior - Partition,"(0.000000000, -1.000000000, 0.000000000)"
6,857191,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1467,497540,6dd03812-90e2-4279-9751-5fbc3584962d-00079784,Interior - Partition,"(0.000000000, -1.000000000, 0.000000000)"
7,857191,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1467,429964,2fc77d67-1af0-4a43-aa66-c544d411df04-00068f8c,Interior - Partition,"(1.000000000, 0.000000000, 0.000000000)"
8,857191,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1467,243274,a6aa132d-ccd7-408f-b2f9-ed67350c8c3a-0003b64a,SG Metal Panels roof,"(0.000000000, -0.693290273, 0.720658447)"
9,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,418183,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,Generic 300,"(0.000000000, 0.000000000, -1.000000000)"
10,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,428745,c85e5be0-d8d5-4148-836f-b55e711ef373-00068ac9,SIP 202mm Wall - conc clad,"(0.000000000, -1.000000000, 0.000000000)"
11,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,429964,2fc77d67-1af0-4a43-aa66-c544d411df04-00068f8c,Interior - Partition,"(1.000000000, 0.000000000, 0.000000000)"
12,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,497540,6dd03812-90e2-4279-9751-5fbc3584962d-00079784,Interior - Partition,"(0.000000000, 1.000000000, 0.000000000)"
13,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,506797,96834e54-f091-4317-9b1a-bbe8b647201d-0007bbad,Interior - Partition,"(-1.000000000, 0.000000000, 0.000000000)"
14,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,506386,96834e54-f091-4317-9b1a-bbe8b647201d-0007ba12,Interior - Partition,"(0.000000000, -1.000000000, 0.000000000)"
15,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,430859,2fc77d67-1af0-4a43-aa66-c544d411df04-0006930b,Interior - Partition,"(-1.000000000, 0.000000000, 0.000000000)"
16,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,243274,a6aa132d-ccd7-408f-b2f9-ed67350c8c3a-0003b64a,SG Metal Panels roof,"(0.000000000, -0.693290273, 0.720658447)"
17,857197,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146d,418183,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,Generic 300,"(0.000000000, 0.000000000, -1.000000000)"
