,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Door_width,Door_height,Nearest_elementIds,ElementId_hor,ElementId_vert,Distance_to_edges_hor,Distance_to_edges_vert,Distance_to_edges_hor_mi,Distance_to_edges_hor_mean,Distance_to_edges_hor_ma,Distance_to_edges_vert_mi,Distance_to_edges_vert_mean,Distance_to_edges_vert_ma,Distance_to_edges_ma,ElementId_next_door,Distance_to_next_door_min
0,857191,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1467,485679,0e567bfb-4f86-412b-af6a-7a1cdb731324-0007692f,0.8,2.1,[],"[428588, 428588, 428745, 428745, 430064, 430064, 497540, 497540]","[418183, 418183]","[0.1, 0.9, 5.9, 5.1, 1.28, 0.48, 2.6, 1.8]","[0.0, 2.125]",0.1,2.27,5.9,0.0,1.062,2.125,0,,0.0
1,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,505974,96834e54-f091-4317-9b1a-bbe8b647201d-0007b876,0.945,2.027,[],"[428745, 428745, 497540, 497540, 506386, 506386]","[418183, 418183]","[1.614, 1.614, 1.565, 1.565, 0.545, 0.545]","[0.0, 0.0]",0.545,1.241,1.614,0.0,0.0,0.0,0,,0.0
2,857197,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146d,431064,2fc77d67-1af0-4a43-aa66-c544d411df04-000693d8,0.8,2.1,[],"[937935, 937935, 430318, 430318, 429964, 429964]","[418183, 418183]","[3.205, 2.405, 2.821, 2.021, 0.119, 0.919]","[0.0, 2.125]",0.119,1.915,3.205,0.0,1.062,2.125,0,,0.0
3,857197,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146d,431198,2fc77d67-1af0-4a43-aa66-c544d411df04-0006945e,0.8,2.1,[],"[428745, 428745, 430361, 430361, 430064, 430064]","[418183, 418183]","[3.74, 2.94, 1.944, 1.144, 0.76, 1.56]","[0.0, 2.125]",0.76,2.015,3.74,0.0,1.062,2.125,0,,0.0
4,857200,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1470,431144,2fc77d67-1af0-4a43-aa66-c544d411df04-00069428,0.8,2.1,[],"[428745, 428745, 430361, 430361]","[418183, 418183]","[0.1, 0.9, 1.576, 0.776]","[0.0, 2.125]",0.1,0.838,1.576,0.0,1.062,2.125,0,,0.0
5,857203,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1473,431198,2fc77d67-1af0-4a43-aa66-c544d411df04-0006945e,0.8,2.1,[],"[768442, 768442, 939084, 939084]","[418183, 418183]","[1.624, 0.824, 0.052, 0.852]","[0.0, 2.125]",0.052,0.838,1.624,0.0,1.062,2.125,0,,0.0
6,857206,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,430997,2fc77d67-1af0-4a43-aa66-c544d411df04-00069395,0.8,2.1,[],"[234869, 234869, 938974, 938974, 430412, 430412]","[418183, 418183]","[0.1, 0.9, 3.124, 2.324, 2.739, 1.939]","[0.0, 2.125]",0.1,1.854,3.124,0.0,1.062,2.125,0,,0.0
7,857206,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,431144,2fc77d67-1af0-4a43-aa66-c544d411df04-00069428,0.8,2.1,[],"[430064, 430064, 768442, 768442, 428745, 428745]","[418183, 418183]","[4.4, 3.6, 1.896, 1.096, 0.1, 0.9]","[0.0, 2.125]",0.1,1.999,4.4,0.0,1.062,2.125,0,,0.0
8,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,430997,2fc77d67-1af0-4a43-aa66-c544d411df04-00069395,0.8,2.1,[],"[234869, 234869, 429964, 429964]","[418183, 418183]","[0.1, 0.9, 8.679, 7.879]","[0.0, 2.125]",0.1,4.389,8.679,0.0,1.062,2.125,0,939962,2.072
9,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,431064,2fc77d67-1af0-4a43-aa66-c544d411df04-000693d8,0.8,2.1,[],"[234869, 234869, 429964, 429964]","[418183, 418183]","[8.66, 7.86, 0.119, 0.919]","[0.0, 2.125]",0.119,4.389,8.66,0.0,1.062,2.125,0,940221,1.768
10,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,485679,0e567bfb-4f86-412b-af6a-7a1cdb731324-0007692f,0.8,2.1,[],"[709245, 709245, 428588, 428588, 430064, 430064]","[418183, 418183]","[5.952, 5.152, 0.1, 0.9, 1.28, 0.48]","[0.0, 2.125]",0.1,2.311,5.952,0.0,1.062,2.125,0,,0.0
11,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,939962,bac06658-19d8-494b-b87a-559081499f8f-000e57ba,0.945,2.027,[],"[234869, 234869, 429964, 429964]","[418183, 418183]","[4.385, 4.385, 4.394, 4.394]","[2.01, 2.01]",4.385,4.389,4.394,2.01,2.01,2.01,0,940221,1.23
12,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,940221,bac06658-19d8-494b-b87a-559081499f8f-000e58bd,0.945,2.027,[],"[234869, 234869, 429964, 429964]","[418183, 418183]","[5.589, 5.589, 3.19, 3.19]","[0.0, 0.0]",3.19,4.389,5.589,0.0,0.0,0.0,0,939962,1.23
13,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,906937,b3a4a465-08e5-441a-bd3e-d967e546d52e-000dd6b9,1.73,2.134,[],"[977377, 977377, 846939, 846939, 977133, 977133, 428745, 428745, 424922, 424922]","[176804, 176804, 418183, 418183, 697612, 697612]","[1.78, 3.51, 4.296, 2.566, 4.309, 2.579, 4.309, 2.579, 1.769, 0.039]","[2.159, 0.0, 0.573, 2.732, 0.0, 0.0]",0.039,2.774,4.309,0.0,0.911,2.732,0,,0.0
14,857292,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14cc,425292,7fcc8dca-3132-4323-9d41-faf5184b4f26-00067d4c,0.8,2.1,[],"[425745, 425745, 845266, 845266]","[176804, 176804, 418183, 418183]","[2.117, 1.317, 0.059, 0.859]","[0.0, 2.125, 2.732, 0.607]",0.059,1.088,2.117,0.0,1.366,2.732,0,,0.0
15,857346,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1502,422466,59371552-5800-43eb-9ba3-609565158fc5-00067242,0.8,2.1,[],"[906885, 906885, 845266, 845266]","[176804, 176804, 418183, 418183]","[1.469, 0.669, 0.059, 0.859]","[0.0, 2.125, 2.732, 0.607]",0.059,0.764,1.469,0.0,1.366,2.732,0,,0.0
16,857346,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1502,425292,7fcc8dca-3132-4323-9d41-faf5184b4f26-00067d4c,0.8,2.1,[],"[906885, 906885, 845266, 845266]","[176804, 176804, 418183, 418183]","[1.469, 0.669, 0.059, 0.859]","[0.0, 2.125, 2.732, 0.607]",0.059,0.764,1.469,0.0,1.366,2.732,0,,0.0
17,857545,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15c9,422466,59371552-5800-43eb-9ba3-609565158fc5-00067242,0.8,2.1,[],"[845266, 845266, 427092, 427092]","[418183, 418183, 176804, 176804, 724430, 724430]","[0.059, 0.859, 3.22, 4.02]","[2.732, 0.607, 0.0, 2.125, 0.0, 0.0]",0.059,2.039,4.02,0.0,0.911,2.732,0,,0.0
