,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Parallel_floor_id,Nonparallel_floor_id,Distance_to_parallel,Distance_to_nonparallel
0,393139,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,[349649],[],[2.85],[]
1,393139,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb3,349649,69a69155-af3a-4ab9-a082-58da18f85acb-000555d1,[349688],[],[2.85],[]
2,393142,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb6,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,[349649],[],[2.85],[]
3,393142,69a69155-af3a-4ab9-a082-58da18f85acb-0005ffb6,349649,69a69155-af3a-4ab9-a082-58da18f85acb-000555d1,[349688],[],[2.85],[]
4,393481,69a69155-af3a-4ab9-a082-58da18f85acb-00060109,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,[349649],[],[2.85],[]
5,393481,69a69155-af3a-4ab9-a082-58da18f85acb-00060109,349649,69a69155-af3a-4ab9-a082-58da18f85acb-000555d1,[349688],[],[2.85],[]
6,393482,69a69155-af3a-4ab9-a082-58da18f85acb-0006010a,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,[349649],[],[2.85],[]
7,393482,69a69155-af3a-4ab9-a082-58da18f85acb-0006010a,349649,69a69155-af3a-4ab9-a082-58da18f85acb-000555d1,[349688],[],[2.85],[]
8,393483,69a69155-af3a-4ab9-a082-58da18f85acb-0006010b,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,[349649],[],[2.85],[]
9,393483,69a69155-af3a-4ab9-a082-58da18f85acb-0006010b,349649,69a69155-af3a-4ab9-a082-58da18f85acb-000555d1,[349688],[],[2.85],[]
10,393484,69a69155-af3a-4ab9-a082-58da18f85acb-0006010c,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,[349649],[],[2.85],[]
11,393484,69a69155-af3a-4ab9-a082-58da18f85acb-0006010c,349649,69a69155-af3a-4ab9-a082-58da18f85acb-000555d1,[349688],[],[2.85],[]
12,393485,69a69155-af3a-4ab9-a082-58da18f85acb-0006010d,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,[349649],[],[2.85],[]
13,393485,69a69155-af3a-4ab9-a082-58da18f85acb-0006010d,349649,69a69155-af3a-4ab9-a082-58da18f85acb-000555d1,[349688],[],[2.85],[]
14,393486,69a69155-af3a-4ab9-a082-58da18f85acb-0006010e,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,[349649],[],[2.85],[]
15,393486,69a69155-af3a-4ab9-a082-58da18f85acb-0006010e,349649,69a69155-af3a-4ab9-a082-58da18f85acb-000555d1,[349688],[],[2.85],[]
16,393487,69a69155-af3a-4ab9-a082-58da18f85acb-0006010f,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,[349649],[],[2.85],[]
17,393487,69a69155-af3a-4ab9-a082-58da18f85acb-0006010f,349649,69a69155-af3a-4ab9-a082-58da18f85acb-000555d1,[349688],[],[2.85],[]
18,393488,69a69155-af3a-4ab9-a082-58da18f85acb-00060110,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,[349649],[],[2.85],[]
19,393488,69a69155-af3a-4ab9-a082-58da18f85acb-00060110,349649,69a69155-af3a-4ab9-a082-58da18f85acb-000555d1,[349688],[],[2.85],[]
20,393489,69a69155-af3a-4ab9-a082-58da18f85acb-00060111,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,[349649],[],[2.85],[]
21,393489,69a69155-af3a-4ab9-a082-58da18f85acb-00060111,349649,69a69155-af3a-4ab9-a082-58da18f85acb-000555d1,[349688],[],[2.85],[]
22,393490,69a69155-af3a-4ab9-a082-58da18f85acb-00060112,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,[349649],[],[2.85],[]
23,393490,69a69155-af3a-4ab9-a082-58da18f85acb-00060112,349649,69a69155-af3a-4ab9-a082-58da18f85acb-000555d1,[349688],[],[2.85],[]
24,393667,69a69155-af3a-4ab9-a082-58da18f85acb-000601c3,349712,69a69155-af3a-4ab9-a082-58da18f85acb-00055610,[349688],[],[3.575],[]
25,393667,69a69155-af3a-4ab9-a082-58da18f85acb-000601c3,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,[349712],[],[3.575],[]
26,393668,69a69155-af3a-4ab9-a082-58da18f85acb-000601c4,349712,69a69155-af3a-4ab9-a082-58da18f85acb-00055610,"[393783, 393783, 349688]",[],"[0.718, 0.718, 3.575]",[]
27,393668,69a69155-af3a-4ab9-a082-58da18f85acb-000601c4,393783,69a69155-af3a-4ab9-a082-58da18f85acb-00060237,"[349712, 349688]",[],"[0.718, 2.8]",[]
28,393668,69a69155-af3a-4ab9-a082-58da18f85acb-000601c4,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,"[393783, 349712, 393783]",[],"[2.8, 3.575, 2.8]",[]
29,393669,69a69155-af3a-4ab9-a082-58da18f85acb-000601c5,349712,69a69155-af3a-4ab9-a082-58da18f85acb-00055610,"[393767, 393767, 349688]",[],"[0.718, 0.718, 3.575]",[]
30,393669,69a69155-af3a-4ab9-a082-58da18f85acb-000601c5,393767,69a69155-af3a-4ab9-a082-58da18f85acb-00060227,"[349712, 349688]",[],"[0.718, 2.8]",[]
31,393669,69a69155-af3a-4ab9-a082-58da18f85acb-000601c5,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,"[393767, 349712, 393767]",[],"[2.8, 3.575, 2.8]",[]
32,393670,69a69155-af3a-4ab9-a082-58da18f85acb-000601c6,349712,69a69155-af3a-4ab9-a082-58da18f85acb-00055610,"[393802, 393802, 349688]",[],"[0.718, 0.718, 3.575]",[]
33,393670,69a69155-af3a-4ab9-a082-58da18f85acb-000601c6,393802,69a69155-af3a-4ab9-a082-58da18f85acb-0006024a,"[349712, 349688]",[],"[0.718, 2.8]",[]
34,393670,69a69155-af3a-4ab9-a082-58da18f85acb-000601c6,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,"[393802, 349712, 393802]",[],"[2.8, 3.575, 2.8]",[]
35,393671,69a69155-af3a-4ab9-a082-58da18f85acb-000601c7,349712,69a69155-af3a-4ab9-a082-58da18f85acb-00055610,"[393818, 393818, 349688]",[],"[0.718, 0.718, 3.575]",[]
36,393671,69a69155-af3a-4ab9-a082-58da18f85acb-000601c7,393818,69a69155-af3a-4ab9-a082-58da18f85acb-0006025a,"[349712, 349688]",[],"[0.718, 2.8]",[]
37,393671,69a69155-af3a-4ab9-a082-58da18f85acb-000601c7,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,"[393818, 349712, 393818]",[],"[2.8, 3.575, 2.8]",[]
38,393672,69a69155-af3a-4ab9-a082-58da18f85acb-000601c8,349712,69a69155-af3a-4ab9-a082-58da18f85acb-00055610,"[393810, 393810, 349688]",[],"[0.718, 0.718, 3.575]",[]
39,393672,69a69155-af3a-4ab9-a082-58da18f85acb-000601c8,393810,69a69155-af3a-4ab9-a082-58da18f85acb-00060252,"[349712, 349688]",[],"[0.718, 2.8]",[]
40,393672,69a69155-af3a-4ab9-a082-58da18f85acb-000601c8,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,"[393810, 349712, 393810]",[],"[2.8, 3.575, 2.8]",[]
41,393673,69a69155-af3a-4ab9-a082-58da18f85acb-000601c9,349712,69a69155-af3a-4ab9-a082-58da18f85acb-00055610,"[393834, 393834, 349688]",[],"[0.718, 0.718, 3.575]",[]
42,393673,69a69155-af3a-4ab9-a082-58da18f85acb-000601c9,393834,69a69155-af3a-4ab9-a082-58da18f85acb-0006026a,"[349712, 349688]",[],"[0.718, 2.8]",[]
43,393673,69a69155-af3a-4ab9-a082-58da18f85acb-000601c9,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,"[393834, 349712, 393834]",[],"[2.8, 3.575, 2.8]",[]
44,393674,69a69155-af3a-4ab9-a082-58da18f85acb-000601ca,349712,69a69155-af3a-4ab9-a082-58da18f85acb-00055610,"[393826, 393826, 349688]",[],"[0.718, 0.718, 3.575]",[]
45,393674,69a69155-af3a-4ab9-a082-58da18f85acb-000601ca,393826,69a69155-af3a-4ab9-a082-58da18f85acb-00060262,"[349712, 349688]",[],"[0.718, 2.8]",[]
46,393674,69a69155-af3a-4ab9-a082-58da18f85acb-000601ca,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,"[393826, 349712, 393826]",[],"[2.8, 3.575, 2.8]",[]
47,393675,69a69155-af3a-4ab9-a082-58da18f85acb-000601cb,349712,69a69155-af3a-4ab9-a082-58da18f85acb-00055610,"[393791, 393791, 349688]",[],"[0.718, 0.718, 3.575]",[]
48,393675,69a69155-af3a-4ab9-a082-58da18f85acb-000601cb,393791,69a69155-af3a-4ab9-a082-58da18f85acb-0006023f,"[349712, 349688]",[],"[0.718, 2.8]",[]
49,393675,69a69155-af3a-4ab9-a082-58da18f85acb-000601cb,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,"[393791, 349712, 393791]",[],"[2.8, 3.575, 2.8]",[]
50,393676,69a69155-af3a-4ab9-a082-58da18f85acb-000601cc,349712,69a69155-af3a-4ab9-a082-58da18f85acb-00055610,"[393842, 393842, 349688]",[],"[0.718, 0.718, 3.575]",[]
51,393676,69a69155-af3a-4ab9-a082-58da18f85acb-000601cc,393842,69a69155-af3a-4ab9-a082-58da18f85acb-00060272,"[349712, 349688]",[],"[0.718, 2.8]",[]
52,393676,69a69155-af3a-4ab9-a082-58da18f85acb-000601cc,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,"[393842, 349712, 393842]",[],"[2.8, 3.575, 2.8]",[]
53,393677,69a69155-af3a-4ab9-a082-58da18f85acb-000601cd,349712,69a69155-af3a-4ab9-a082-58da18f85acb-00055610,"[393759, 393759, 349688]",[],"[0.718, 0.718, 3.575]",[]
54,393677,69a69155-af3a-4ab9-a082-58da18f85acb-000601cd,393759,69a69155-af3a-4ab9-a082-58da18f85acb-0006021f,"[349712, 349688]",[],"[0.718, 2.8]",[]
55,393677,69a69155-af3a-4ab9-a082-58da18f85acb-000601cd,349688,69a69155-af3a-4ab9-a082-58da18f85acb-000555f8,"[393759, 349712, 393759]",[],"[2.8, 3.575, 2.8]",[]
