,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Nearest_elementIds,Nearest_elementIds_count,Distance_to_nearest,Distance_to_nearest_mi,Distance_to_nearest_mean,Distance_to_nearest_ma
0,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,420270,81595c38-a4c2-4a22-9ddf-5884d5e7382c-000669ae,"[428745, 429964, 497540, 506797, 506386, 430859]",6,"[0.101, 2.04, 3.079, 2.223, 2.074, 0.28]",0.101,1.633,3.079
1,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,499496,1ac40ecd-9b56-404a-8189-99248e0832e3-00079f28,"[428745, 429964, 497540, 506797, 506386, 430859]",6,"[2.74, 1.82, 0.44, 0.57, 0.461, 0.5]",0.44,1.089,2.74
2,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,698859,f714ef06-3fa3-4b95-b3e7-bbbd1e6eda49-000aa9eb,"[428745, 429964, 497540, 506797, 506386, 430859]",6,"[2.0, 1.19, 1.18, 0.16, 0.16, 1.13]",0.16,0.97,2.0
3,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,937138,bac06658-19d8-494b-b87a-559081499f8f-000e4cb2,"[428745, 429964, 497540, 506797, 506386, 430859]",6,"[2.28, 1.13, 0.9, -0.0, -0.0, 1.19]",-0.0,0.917,2.28
4,857200,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1470,937571,bac06658-19d8-494b-b87a-559081499f8f-000e4e63,"[428745, 430412, 430361, 937935]",4,"[1.106, 1.021, 0.57, 1.355]",0.57,1.013,1.355
5,857200,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1470,937572,bac06658-19d8-494b-b87a-559081499f8f-000e4e64,"[428745, 430412, 430361, 937935]",4,"[1.676, 2.376, -0.0, 0.0]",-0.0,1.013,2.376
6,857200,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1470,937573,bac06658-19d8-494b-b87a-559081499f8f-000e4e65,"[428745, 430412, 430361, 937935]",4,"[1.516, 0.371, 0.16, 2.005]",0.16,1.013,2.005
7,857203,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1473,938761,bac06658-19d8-494b-b87a-559081499f8f-000e5309,"[430318, 768442, 938974, 939084]",4,"[1.02, 0.57, 1.355, 1.106]",0.57,1.013,1.355
8,857203,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1473,938762,bac06658-19d8-494b-b87a-559081499f8f-000e530a,"[430318, 768442, 938974, 939084]",4,"[2.375, -0.0, 0.0, 1.676]",-0.0,1.013,2.375
9,857203,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1473,938763,bac06658-19d8-494b-b87a-559081499f8f-000e530b,"[430318, 768442, 938974, 939084]",4,"[0.37, 0.16, 2.005, 1.516]",0.16,1.013,2.005
