,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Window_width,Window_height,Nearest_elementIds,ElementId_vert,ElementId_hor,Distance_to_edges_hor,Distance_to_edges_vert,Distance_to_edges_hor_mi,Distance_to_edges_hor_mean,Distance_to_edges_hor_ma,Distance_to_edges_vert_mi,Distance_to_edges_vert_mean,Distance_to_edges_vert_ma,ElementId_next_win,Distance_to_next_win_min
0,857191,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1467,457479,6cbabf1d-e8d0-47f0-ac4d-9a7923128d37-0006fb07,1.5,2.7,[],"[418183, 418183]","[428797, 428797, 430859, 430859, 429964, 429964]","[2.938, 1.438, 0.5, 2.0, 2.94, 4.44]","[2.732, 0.0]",0.5,2.376,4.44,0.0,1.366,2.732,,0.0
1,857191,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1467,485432,0e567bfb-4f86-412b-af6a-7a1cdb731324-00076838,1.5,2.7,[],"[418183, 418183]","[428797, 428797, 430859, 430859, 429964, 429964]","[2.938, 1.438, 0.5, 2.0, 2.94, 4.44]","[2.732, 0.0]",0.5,2.376,4.44,0.0,1.366,2.732,,0.0
2,857194,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146a,706288,95f3421a-5ae4-44aa-8d80-6871d132d631-000ac6f0,1.5,2.7,[],"[418183, 418183]","[429964, 429964, 506797, 506797, 430859, 430859]","[0.44, 1.94, 0.69, 0.69, 1.88, 0.38]","[2.732, 0.0]",0.38,1.003,1.94,0.0,1.366,2.732,,0.0
3,857197,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d146d,457534,6cbabf1d-e8d0-47f0-ac4d-9a7923128d37-0006fb3e,1.5,2.7,[],"[418183, 418183]","[937935, 937935, 430318, 430318, 429964, 429964]","[0.384, 1.884, -0.0, 1.5, 2.94, 1.44]","[2.732, 0.0]",-0.0,1.358,2.94,0.0,1.366,2.732,,0.0
4,857206,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,457542,6cbabf1d-e8d0-47f0-ac4d-9a7923128d37-0006fb46,1.5,2.7,[],"[418183, 418183]","[234869, 234869, 938974, 938974, 430412, 430412]","[-0.0, 1.5, 3.224, 1.724, 2.839, 1.339]","[2.732, 0.0]",-0.0,1.771,3.224,0.0,1.366,2.732,,0.0
5,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,498006,6dd03812-90e2-4279-9751-5fbc3584962d-00079956,1.5,2.7,[],"[418183, 418183]","[234869, 234869, 429964, 429964]","[4.339, 5.839, 4.44, 2.94]","[2.732, 0.0]",2.94,4.389,5.839,0.0,1.366,2.732,554383,0.0
6,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,554383,26038d85-c9ba-4b4e-a9e7-45840812e60d-0008758f,1.5,2.7,[],"[418183, 418183]","[234869, 234869, 429964, 429964]","[2.839, 4.339, 5.94, 4.44]","[2.732, 0.0]",2.839,4.389,5.94,0.0,1.366,2.732,498006,0.0
7,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,735853,80c6b7e4-2dd7-4a4e-ae16-489c86c3eac2-000b3a6d,1.5,2.7,[],"[512683, 512683, 724430, 724430]","[977133, 977133, 704275, 704275, 655533, 655533]","[4.22, 2.72, 7.488, 8.988, 7.5, 9.0]","[2.732, 0.0, 0.051, 2.782]",2.72,6.653,9.0,0.0,1.391,2.782,736152,2.121
8,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,736152,80c6b7e4-2dd7-4a4e-ae16-489c86c3eac2-000b3b98,1.5,2.7,[],"[512683, 512683, 724430, 724430]","[977133, 977133, 704275, 704275, 655533, 655533]","[5.72, 4.22, 5.988, 7.488, 6.0, 7.5]","[2.732, 0.0, 0.051, 2.782]",4.22,6.153,7.5,0.0,1.391,2.782,736223,2.121
9,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,736223,80c6b7e4-2dd7-4a4e-ae16-489c86c3eac2-000b3bdf,1.5,2.7,[],"[512683, 512683, 724430, 724430]","[977133, 977133, 704275, 704275, 655533, 655533]","[7.22, 5.72, 4.488, 5.988, 4.5, 6.0]","[2.732, 0.0, 0.051, 2.782]",4.488,5.653,7.22,0.0,1.391,2.782,736152,2.121
10,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,736330,80c6b7e4-2dd7-4a4e-ae16-489c86c3eac2-000b3c4a,1.5,2.7,[],"[512683, 512683, 724430, 724430]","[977133, 977133, 704275, 704275, 655533, 655533]","[8.72, 7.22, 2.988, 4.488, 3.0, 4.5]","[2.732, 0.0, 0.051, 2.782]",2.988,5.153,8.72,0.0,1.391,2.782,736223,2.121
11,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,744522,80c6b7e4-2dd7-4a4e-ae16-489c86c3eac2-000b5c4a,1.5,2.7,[],"[512683, 512683, 724430, 724430]","[977133, 977133, 704275, 704275, 655533, 655533]","[4.22, 2.72, 7.488, 8.988, 7.5, 9.0]","[2.732, 0.0, 0.051, 2.782]",2.72,6.653,9.0,0.0,1.391,2.782,744523,2.121
12,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,744523,80c6b7e4-2dd7-4a4e-ae16-489c86c3eac2-000b5c4b,1.5,2.7,[],"[512683, 512683, 724430, 724430]","[977133, 977133, 704275, 704275, 655533, 655533]","[5.72, 4.22, 5.988, 7.488, 6.0, 7.5]","[2.732, 0.0, 0.051, 2.782]",4.22,6.153,7.5,0.0,1.391,2.782,744524,2.121
13,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,744524,80c6b7e4-2dd7-4a4e-ae16-489c86c3eac2-000b5c4c,1.5,2.7,[],"[512683, 512683, 724430, 724430]","[977133, 977133, 704275, 704275, 655533, 655533]","[7.22, 5.72, 4.488, 5.988, 4.5, 6.0]","[2.732, 0.0, 0.051, 2.782]",4.488,5.653,7.22,0.0,1.391,2.782,744523,2.121
14,857552,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d15d0,744525,80c6b7e4-2dd7-4a4e-ae16-489c86c3eac2-000b5c4d,1.5,2.7,[],"[512683, 512683, 724430, 724430]","[977133, 977133, 704275, 704275, 655533, 655533]","[8.72, 7.22, 2.988, 4.488, 3.0, 4.5]","[2.732, 0.0, 0.051, 2.782]",2.988,5.153,8.72,0.0,1.391,2.782,744524,2.121
