,Selected_roomI_uniqueId,Selected_roomI_Id,UniqueId,ElementId,Family,Typ,Category,LevelId
0,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,857206,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,418183,Floor,Generic 300,Floors,245423
1,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,857206,88b03b05-80d3-484f-8022-471f61604c8d-00039575,234869,Basic Wall,Wall - Timber Clad,Walls,245423
2,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,857206,2fc77d67-1af0-4a43-aa66-c544d411df04-00068ff0,430064,Basic Wall,Interior - Partition,Walls,245423
3,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,857206,bac06658-19d8-494b-b87a-559081499f8f-000e53de,938974,Basic Wall,Interior - Partition,Walls,245423
4,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,857206,3195d1cb-ca2c-4181-b9c0-51da296667aa-000bb9ba,768442,Basic Wall,Interior - Partition,Walls,245423
5,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,857206,2fc77d67-1af0-4a43-aa66-c544d411df04-0006914c,430412,Basic Wall,Interior - Partition,Walls,245423
6,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,857206,c85e5be0-d8d5-4148-836f-b55e711ef373-00068ac9,428745,Basic Wall,SIP 202mm Wall - conc clad,Walls,245423
7,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,857206,a6aa132d-ccd7-408f-b2f9-ed67350c8c3a-0003b64a,243274,Basic Roof,SG Metal Panels roof,Roofs,-1
8,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,857206,2fc77d67-1af0-4a43-aa66-c544d411df04-00069119,430361,Basic Wall,Interior - Partition,Walls,245423
9,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,857206,2fc77d67-1af0-4a43-aa66-c544d411df04-00069395,430997,Single-Flush,800 x 2100,Doors,245423
10,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,857206,2fc77d67-1af0-4a43-aa66-c544d411df04-00069428,431144,Single-Flush,800 x 2100,Doors,245423
11,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,857206,6cbabf1d-e8d0-47f0-ac4d-9a7923128d37-0006fb46,457542,Single Window,Standard,Windows,245423
