,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Door_width,Door_height,Nearest_elementIds,ElementId_hor,ElementId_vert,Distance_to_edges_hor,Distance_to_edges_vert,Distance_to_edges_mi,Distance_to_edges_mean,Distance_to_edges_ma,ElementId_next_door,Distance_to_next_door_min
0,3431421,9cf76385-c087-44ac-94ef-586873199046-00345bfd,3151211,6019daee-c7da-42d3-8cc4-00f4173566ea-0030156b,0.7,2.1,"[3145976, 3151193, 3151398, 3151212]","[3151398, 3151212]","[3145976, 3151193]","[0.32, 1.7]","[1.113, 2.125]",0.32,1.31,2.125,,0.0
1,3431422,9cf76385-c087-44ac-94ef-586873199046-00345bfe,3151232,6019daee-c7da-42d3-8cc4-00f4173566ea-00301580,0.7,2.1,"[3145976, 3151193, 3151212, 3151398]","[3151212, 3151398]","[3145976, 3151193]","[1.7, 0.32]","[1.113, 2.125]",0.32,1.31,2.125,,0.0
2,3431424,9cf76385-c087-44ac-94ef-586873199046-00345c00,3151386,6019daee-c7da-42d3-8cc4-00f4173566ea-0030161a,0.7,2.1,"[3145976, 3151193, 3151413, 3151389]","[3151413, 3151389]","[3145976, 3151193]","[3.45, 1.65]","[1.113, 2.125]",1.113,2.08,3.45,,0.0
3,3431427,9cf76385-c087-44ac-94ef-586873199046-00345c03,3151217,6019daee-c7da-42d3-8cc4-00f4173566ea-00301571,0.8,2.1,"[3145976, 3151193, 3151212, 3305472]","[3151212, 3305472]","[3145976, 3151193]","[0.4, 1.2]","[1.113, 2.125]",0.4,1.21,2.125,,0.0
4,3431427,9cf76385-c087-44ac-94ef-586873199046-00345c03,3305474,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00327002,0.7,2.1,"[3145976, 3151193, 3151208, 3151375]","[3151208, 3151375]","[3145976, 3151193]","[15.91, 14.55]","[1.159, 2.079]",1.159,8.42,15.91,3305475,7.963
5,3431427,9cf76385-c087-44ac-94ef-586873199046-00345c03,3305475,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00327003,0.7,2.1,"[3145976, 3151193, 3151208, 3151375]","[3151208, 3151375]","[3145976, 3151193]","[23.84, 6.62]","[1.159, 2.079]",1.159,8.42,23.84,3315902,5.463
6,3431427,9cf76385-c087-44ac-94ef-586873199046-00345c03,3315902,27e93053-836e-4354-82be-86bf7a56cbd5-003298be,0.8,2.1,"[3145976, 3151193, 3151208, 3151375]","[3151208, 3151375]","[3145976, 3151193]","[29.16, 1.3]","[1.113, 2.125]",1.113,8.42,29.16,3305475,5.463
7,3431427,9cf76385-c087-44ac-94ef-586873199046-00345c03,3559943,88cd8c80-9995-4651-9869-f5c82e340e91-00365207,0.7,2.1,"[3145976, 3151193, 3151208, 3151375]","[3151208, 3151375]","[3145976, 3151193]","[1.35, 29.12]","[1.159, 2.079]",1.159,8.43,29.12,3305474,14.582
8,3431429,9cf76385-c087-44ac-94ef-586873199046-00345c05,3151202,6019daee-c7da-42d3-8cc4-00f4173566ea-00301562,0.7,2.1,"[3145976, 3151193, 3381406]",[3381406],"[3145976, 3151193]",[3.39],"[1.159, 2.079]",1.159,2.21,3.39,,0.0
9,3431431,9cf76385-c087-44ac-94ef-586873199046-00345c07,3335048,38712bf7-cf57-40a2-b537-6b776c43fac5-0032e388,1.01,2.1,"[3145976, 3151193, 3151174, 3151178]","[3151174, 3151178]","[3145976, 3151193]","[0.76, 1.71]","[1.169, 2.069]",0.76,1.43,2.069,,0.0
10,3431435,9cf76385-c087-44ac-94ef-586873199046-00345c0b,3310427,7415f20a-8867-4ab7-81ef-117264dd7073-0032835b,1.01,2.1,"[3145976, 3151193, 3151364, 3213826]","[3151364, 3213826]","[3145976, 3151193]","[1.61, 0.76]","[1.169, 2.069]",0.76,1.4,2.069,,0.0
11,3431441,9cf76385-c087-44ac-94ef-586873199046-00345c11,3305489,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00327011,0.7,2.1,"[3145976, 3151193]",[],"[3145976, 3151193]",[],"[1.159, 2.079]",1.159,1.62,2.079,3305492,2.753
12,3431441,9cf76385-c087-44ac-94ef-586873199046-00345c11,3305490,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00327012,0.7,2.1,"[3145976, 3151193]",[],"[3145976, 3151193]",[],"[1.159, 2.079]",1.159,1.62,2.079,3305492,7.642
