,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Parallel_floor_id,Parallel_floors_count,Distance_max
0,3431421,9cf76385-c087-44ac-94ef-586873199046-00345bfd,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
1,3431421,9cf76385-c087-44ac-94ef-586873199046-00345bfd,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
2,3431422,9cf76385-c087-44ac-94ef-586873199046-00345bfe,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
3,3431422,9cf76385-c087-44ac-94ef-586873199046-00345bfe,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
4,3431424,9cf76385-c087-44ac-94ef-586873199046-00345c00,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
5,3431424,9cf76385-c087-44ac-94ef-586873199046-00345c00,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
6,3431425,9cf76385-c087-44ac-94ef-586873199046-00345c01,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
7,3431425,9cf76385-c087-44ac-94ef-586873199046-00345c01,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
8,3431427,9cf76385-c087-44ac-94ef-586873199046-00345c03,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
9,3431427,9cf76385-c087-44ac-94ef-586873199046-00345c03,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
10,3431429,9cf76385-c087-44ac-94ef-586873199046-00345c05,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
11,3431429,9cf76385-c087-44ac-94ef-586873199046-00345c05,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
12,3431431,9cf76385-c087-44ac-94ef-586873199046-00345c07,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
13,3431431,9cf76385-c087-44ac-94ef-586873199046-00345c07,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
14,3431435,9cf76385-c087-44ac-94ef-586873199046-00345c0b,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
15,3431435,9cf76385-c087-44ac-94ef-586873199046-00345c0b,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
16,3431436,9cf76385-c087-44ac-94ef-586873199046-00345c0c,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
17,3431436,9cf76385-c087-44ac-94ef-586873199046-00345c0c,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
18,3431438,9cf76385-c087-44ac-94ef-586873199046-00345c0e,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
19,3431438,9cf76385-c087-44ac-94ef-586873199046-00345c0e,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
20,3431439,9cf76385-c087-44ac-94ef-586873199046-00345c0f,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
21,3431439,9cf76385-c087-44ac-94ef-586873199046-00345c0f,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
22,3431440,9cf76385-c087-44ac-94ef-586873199046-00345c10,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
23,3431440,9cf76385-c087-44ac-94ef-586873199046-00345c10,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
24,3431441,9cf76385-c087-44ac-94ef-586873199046-00345c11,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
25,3431441,9cf76385-c087-44ac-94ef-586873199046-00345c11,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
26,3431443,9cf76385-c087-44ac-94ef-586873199046-00345c13,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
27,3431443,9cf76385-c087-44ac-94ef-586873199046-00345c13,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
28,3431445,9cf76385-c087-44ac-94ef-586873199046-00345c15,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
29,3431445,9cf76385-c087-44ac-94ef-586873199046-00345c15,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
30,3431446,9cf76385-c087-44ac-94ef-586873199046-00345c16,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
31,3431446,9cf76385-c087-44ac-94ef-586873199046-00345c16,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
32,3431447,9cf76385-c087-44ac-94ef-586873199046-00345c17,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
33,3431447,9cf76385-c087-44ac-94ef-586873199046-00345c17,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
34,3431448,9cf76385-c087-44ac-94ef-586873199046-00345c18,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
35,3431448,9cf76385-c087-44ac-94ef-586873199046-00345c18,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
36,3431450,9cf76385-c087-44ac-94ef-586873199046-00345c1a,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
37,3431450,9cf76385-c087-44ac-94ef-586873199046-00345c1a,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
38,3431451,9cf76385-c087-44ac-94ef-586873199046-00345c1b,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
39,3431451,9cf76385-c087-44ac-94ef-586873199046-00345c1b,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
40,3431452,9cf76385-c087-44ac-94ef-586873199046-00345c1c,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
41,3431452,9cf76385-c087-44ac-94ef-586873199046-00345c1c,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
42,3431453,9cf76385-c087-44ac-94ef-586873199046-00345c1d,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
43,3431453,9cf76385-c087-44ac-94ef-586873199046-00345c1d,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
44,3431454,9cf76385-c087-44ac-94ef-586873199046-00345c1e,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
45,3431454,9cf76385-c087-44ac-94ef-586873199046-00345c1e,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
46,3431455,9cf76385-c087-44ac-94ef-586873199046-00345c1f,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
47,3431455,9cf76385-c087-44ac-94ef-586873199046-00345c1f,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
48,3431456,9cf76385-c087-44ac-94ef-586873199046-00345c20,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
49,3431456,9cf76385-c087-44ac-94ef-586873199046-00345c20,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
50,3431457,9cf76385-c087-44ac-94ef-586873199046-00345c21,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
51,3431457,9cf76385-c087-44ac-94ef-586873199046-00345c21,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
52,3431458,9cf76385-c087-44ac-94ef-586873199046-00345c22,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
53,3431458,9cf76385-c087-44ac-94ef-586873199046-00345c22,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
54,3431459,9cf76385-c087-44ac-94ef-586873199046-00345c23,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
55,3431459,9cf76385-c087-44ac-94ef-586873199046-00345c23,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
56,3431461,9cf76385-c087-44ac-94ef-586873199046-00345c25,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
57,3431461,9cf76385-c087-44ac-94ef-586873199046-00345c25,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
58,3431462,9cf76385-c087-44ac-94ef-586873199046-00345c26,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
59,3431462,9cf76385-c087-44ac-94ef-586873199046-00345c26,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
60,3431463,9cf76385-c087-44ac-94ef-586873199046-00345c27,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[3151193],1,3.2
61,3431463,9cf76385-c087-44ac-94ef-586873199046-00345c27,3151193,6019daee-c7da-42d3-8cc4-00f4173566ea-00301559,[3145976],1,3.2
62,3431467,9cf76385-c087-44ac-94ef-586873199046-00345c2b,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
63,3431467,9cf76385-c087-44ac-94ef-586873199046-00345c2b,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
64,3431468,9cf76385-c087-44ac-94ef-586873199046-00345c2c,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
65,3431468,9cf76385-c087-44ac-94ef-586873199046-00345c2c,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
66,3431469,9cf76385-c087-44ac-94ef-586873199046-00345c2d,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
67,3431469,9cf76385-c087-44ac-94ef-586873199046-00345c2d,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
68,3431471,9cf76385-c087-44ac-94ef-586873199046-00345c2f,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
69,3431471,9cf76385-c087-44ac-94ef-586873199046-00345c2f,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
70,3431473,9cf76385-c087-44ac-94ef-586873199046-00345c31,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
71,3431473,9cf76385-c087-44ac-94ef-586873199046-00345c31,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
72,3431475,9cf76385-c087-44ac-94ef-586873199046-00345c33,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
73,3431475,9cf76385-c087-44ac-94ef-586873199046-00345c33,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
74,3431477,9cf76385-c087-44ac-94ef-586873199046-00345c35,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
75,3431477,9cf76385-c087-44ac-94ef-586873199046-00345c35,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
76,3431482,9cf76385-c087-44ac-94ef-586873199046-00345c3a,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
77,3431482,9cf76385-c087-44ac-94ef-586873199046-00345c3a,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
78,3431483,9cf76385-c087-44ac-94ef-586873199046-00345c3b,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
79,3431483,9cf76385-c087-44ac-94ef-586873199046-00345c3b,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
80,3431485,9cf76385-c087-44ac-94ef-586873199046-00345c3d,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
81,3431485,9cf76385-c087-44ac-94ef-586873199046-00345c3d,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
82,3431486,9cf76385-c087-44ac-94ef-586873199046-00345c3e,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
83,3431486,9cf76385-c087-44ac-94ef-586873199046-00345c3e,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
84,3431487,9cf76385-c087-44ac-94ef-586873199046-00345c3f,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
85,3431487,9cf76385-c087-44ac-94ef-586873199046-00345c3f,3145976,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003000f8,[2342938],1,3.2
86,3431489,9cf76385-c087-44ac-94ef-586873199046-00345c41,2342938,255f5692-a770-4d14-850d-846de2944ef3-0023c01a,[3145976],1,3.2
