,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Nearest_elementIds,Nearest_elementIds_count,Distance_to_nearest,Distance_to_nearest_mi,Distance_to_nearest_mean,Distance_to_nearest_ma
0,3431424,9cf76385-c087-44ac-94ef-586873199046-00345c00,3533284,dfece663-f68b-43d7-9afd-94b6d256870f-0035e9e4,"[3151056, 3151413, 3151375, 3151389]",4,"[1.3, 4.16, 1.94, 0.94]",0.94,2.085,4.16
1,3431424,9cf76385-c087-44ac-94ef-586873199046-00345c00,3533285,dfece663-f68b-43d7-9afd-94b6d256870f-0035e9e5,"[3151056, 3151413, 3151375, 3151389]",4,"[1.3, 1.2, 1.94, 3.9]",1.2,2.085,3.9
2,3431424,9cf76385-c087-44ac-94ef-586873199046-00345c00,3533340,dfece663-f68b-43d7-9afd-94b6d256870f-0035ea1c,"[3151056, 3151413, 3151375, 3151389]",4,"[1.3, 2.6, 1.94, 2.5]",1.3,2.085,2.6
3,3431425,9cf76385-c087-44ac-94ef-586873199046-00345c01,3533291,dfece663-f68b-43d7-9afd-94b6d256870f-0035e9eb,"[3151227, 3151235, 3151413]",3,"[1.34, 3.16, 4.2]",1.34,2.9000000000000004,4.2
4,3431425,9cf76385-c087-44ac-94ef-586873199046-00345c01,3533292,dfece663-f68b-43d7-9afd-94b6d256870f-0035e9ec,"[3151227, 3151235, 3151413]",3,"[1.34, 3.16, 2.7]",1.34,2.4000000000000004,3.16
5,3431425,9cf76385-c087-44ac-94ef-586873199046-00345c01,3533293,dfece663-f68b-43d7-9afd-94b6d256870f-0035e9ed,"[3151227, 3151235, 3151413]",3,"[2.76, 1.74, 4.2]",1.74,2.9,4.2
6,3431425,9cf76385-c087-44ac-94ef-586873199046-00345c01,3533294,dfece663-f68b-43d7-9afd-94b6d256870f-0035e9ee,"[3151227, 3151235, 3151413]",3,"[2.76, 1.74, 2.7]",1.74,2.4,2.76
7,3431436,9cf76385-c087-44ac-94ef-586873199046-00345c0c,3526992,b80215cf-d4a6-4a54-b3e3-33920192f07f-0035d150,"[3151355, 3151413, 3151371, 3305486]",4,"[1.57, 2.8, 1.48, 2.98]",1.48,2.2075,2.98
8,3431436,9cf76385-c087-44ac-94ef-586873199046-00345c0c,3526993,b80215cf-d4a6-4a54-b3e3-33920192f07f-0035d151,"[3151355, 3151413, 3151371, 3305486]",4,"[2.18, 2.44, 0.87, 3.34]",0.87,2.2075,3.34
9,3431436,9cf76385-c087-44ac-94ef-586873199046-00345c0c,3526994,b80215cf-d4a6-4a54-b3e3-33920192f07f-0035d152,"[3151355, 3151413, 3151371, 3305486]",4,"[0.96, 2.44, 2.09, 3.34]",0.96,2.2075,3.34
10,3431436,9cf76385-c087-44ac-94ef-586873199046-00345c0c,3526995,b80215cf-d4a6-4a54-b3e3-33920192f07f-0035d153,"[3151355, 3151413, 3151371, 3305486]",4,"[2.18, 3.16, 0.87, 2.62]",0.87,2.2075,3.16
