,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Width,Height,Perpendicular_walls_id,Perpendicular_walls_count,Parallel_walls_id,Parallel_walls_count,Distance_to_parall,Distance_to_parall_mi,Distance_to_parall_mean,Distance_to_parall_ma,Nearest_walls_id,Angles_to_walls,Angles_to_walls_mi,Angles_to_walls_mean,Angles_to_walls_ma
0,3431421,9cf76385-c087-44ac-94ef-586873199046-00345bfd,3151208,6019daee-c7da-42d3-8cc4-00f4173566ea-00301568,0.1,3.2000000000000006,"[3145976, 3151193, 3151398, None, 3151212]",5,"[None, None, None, 3151229, None]",5,"[None, None, None, 3.24, None]",3.24,3.24,3.24,"[None, None, 3151398, None, 3151212]","[90, 90, 90, 0, 90]",0,72,90
1,3431421,9cf76385-c087-44ac-94ef-586873199046-00345bfd,3151398,6019daee-c7da-42d3-8cc4-00f4173566ea-00301626,0.1,3.100000000000002,"[3145976, 3151193, 3151208, 3151229, None]",5,"[None, None, None, None, 3151212]",5,"[None, None, None, None, 2.02]",2.02,2.02,2.02,"[None, None, 3151208, 3151229, None]","[90, 90, 90, 90, 0]",0,72,90
2,3431421,9cf76385-c087-44ac-94ef-586873199046-00345bfd,3151229,6019daee-c7da-42d3-8cc4-00f4173566ea-0030157d,0.1,3.2000000000000006,"[3145976, 3151193, None, 3151398, 3151212]",5,"[None, None, 3151208, None, None]",5,"[None, None, 3.24, None, None]",3.24,3.24,3.24,"[None, None, None, 3151398, 3151212]","[90, 90, 0, 90, 90]",0,72,90
3,3431421,9cf76385-c087-44ac-94ef-586873199046-00345bfd,3151212,6019daee-c7da-42d3-8cc4-00f4173566ea-0030156c,0.1,3.2000000000000006,"[3145976, 3151193, 3151208, None, 3151229]",5,"[None, None, None, 3151398, None]",5,"[None, None, None, 2.02, None]",2.02,2.02,2.02,"[None, None, 3151208, None, 3151229]","[90, 90, 90, 0, 90]",0,72,90
4,3431422,9cf76385-c087-44ac-94ef-586873199046-00345bfe,3151212,6019daee-c7da-42d3-8cc4-00f4173566ea-0030156c,0.1,3.2000000000000006,"[3145976, 3151193, 3151229, None, 3547312]",5,"[None, None, None, 3151398, None]",5,"[None, None, None, 2.02, None]",2.02,2.02,2.02,"[None, None, 3151229, None, 3547312]","[90, 90, 90, 0, 90]",0,72,90
5,3431422,9cf76385-c087-44ac-94ef-586873199046-00345bfe,3151229,6019daee-c7da-42d3-8cc4-00f4173566ea-0030157d,0.1,3.2000000000000006,"[3145976, 3151193, 3151212, 3151398, None]",5,"[None, None, None, None, 3547312]",5,"[None, None, None, None, 2.32]",2.32,2.32,2.32,"[None, None, 3151212, 3151398, None]","[90, 90, 90, 90, 0]",0,72,90
6,3431422,9cf76385-c087-44ac-94ef-586873199046-00345bfe,3151398,6019daee-c7da-42d3-8cc4-00f4173566ea-00301626,0.1,3.100000000000002,"[3145976, 3151193, None, 3151229, 3547312]",5,"[None, None, 3151212, None, None]",5,"[None, None, 2.02, None, None]",2.02,2.02,2.02,"[None, None, None, 3151229, 3547312]","[90, 90, 0, 90, 90]",0,72,90
7,3431422,9cf76385-c087-44ac-94ef-586873199046-00345bfe,3547312,9d1e72e9-7904-4a38-9847-64dce50bd45c-003620b0,0.1,3.2000000000000006,"[3145976, 3151193, 3151212, None, 3151398]",5,"[None, None, None, 3151229, None]",5,"[None, None, None, 2.32, None]",2.32,2.32,2.32,"[None, None, 3151212, None, 3151398]","[90, 90, 90, 0, 90]",0,72,90
8,3431424,9cf76385-c087-44ac-94ef-586873199046-00345c00,3151056,6019daee-c7da-42d3-8cc4-00f4173566ea-003014d0,0.25,3.2000000000000006,"[3145976, 3151193, 3151413, None, 3151389]",5,"[None, None, None, 3151375, None]",5,"[None, None, None, 3.24, None]",3.24,3.24,3.24,"[None, None, 3151413, None, 3151389]","[90, 90, 90, 0, 90]",0,72,90
9,3431424,9cf76385-c087-44ac-94ef-586873199046-00345c00,3151413,6019daee-c7da-42d3-8cc4-00f4173566ea-00301635,0.25,3.2000000000000006,"[3145976, 3151193, 3151056, 3151375, None]",5,"[None, None, None, None, 3151389]",5,"[None, None, None, None, 5.1]",5.1,5.1,5.1,"[None, None, 3151056, 3151375, None]","[90, 90, 90, 90, 0]",0,72,90
10,3431424,9cf76385-c087-44ac-94ef-586873199046-00345c00,3151375,6019daee-c7da-42d3-8cc4-00f4173566ea-0030160f,0.1,3.2000000000000006,"[3145976, 3151193, None, 3151413, 3151389]",5,"[None, None, 3151056, None, None]",5,"[None, None, 3.24, None, None]",3.24,3.24,3.24,"[None, None, None, 3151413, 3151389]","[90, 90, 0, 90, 90]",0,72,90
11,3431424,9cf76385-c087-44ac-94ef-586873199046-00345c00,3151389,6019daee-c7da-42d3-8cc4-00f4173566ea-0030161d,0.1,3.2000000000000006,"[3145976, 3151193, 3151056, None, 3151375]",5,"[None, None, None, 3151413, None]",5,"[None, None, None, 5.1, None]",5.1,5.1,5.1,"[None, None, 3151056, None, 3151375]","[90, 90, 90, 0, 90]",0,72,90
12,3431425,9cf76385-c087-44ac-94ef-586873199046-00345c01,3151227,6019daee-c7da-42d3-8cc4-00f4173566ea-0030157b,0.1,3.2000000000000006,"[3145976, 3151193, None, 3151413]",4,"[None, None, 3151235, None]",4,"[None, None, 4.5, None]",4.5,4.5,4.5,"[None, None, None, 3151413]","[90, 90, 0, 90]",0,67.5,90
13,3431425,9cf76385-c087-44ac-94ef-586873199046-00345c01,3151235,6019daee-c7da-42d3-8cc4-00f4173566ea-00301583,0.1,3.2000000000000006,"[3145976, 3151193, None, 3151413]",4,"[None, None, 3151227, None]",4,"[None, None, 4.5, None]",4.5,4.5,4.5,"[None, None, None, 3151413]","[90, 90, 0, 90]",0,67.5,90
14,3431425,9cf76385-c087-44ac-94ef-586873199046-00345c01,3151413,6019daee-c7da-42d3-8cc4-00f4173566ea-00301635,0.25,3.2000000000000006,"[3145976, 3151193, 3151227, 3151235]",4,"[None, None, None, None]",4,"[None, None, None, None]",0,0,0,"[None, None, 3151227, 3151235]","[90, 90, 90, 90]",90,90,90
15,3431427,9cf76385-c087-44ac-94ef-586873199046-00345c03,3151208,6019daee-c7da-42d3-8cc4-00f4173566ea-00301568,0.1,3.2000000000000006,"[3145976, 3151193, 3151212, None, 3305472]",5,"[None, None, None, 3151375, None]",5,"[None, None, None, 30.46, None]",30.46,30.46,30.46,"[None, None, 3151212, None, 3305472]","[90, 90, 90, 0, 90]",0,72,90
16,3431427,9cf76385-c087-44ac-94ef-586873199046-00345c03,3151212,6019daee-c7da-42d3-8cc4-00f4173566ea-0030156c,0.1,3.2000000000000006,"[3145976, 3151193, 3151208, 3151375, None]",5,"[None, None, None, None, 3305472]",5,"[None, None, None, None, 1.6]",1.6,1.6,1.6,"[None, None, 3151208, 3151375, None]","[90, 90, 90, 90, 0]",0,72,90
17,3431427,9cf76385-c087-44ac-94ef-586873199046-00345c03,3151375,6019daee-c7da-42d3-8cc4-00f4173566ea-0030160f,0.1,3.2000000000000006,"[3145976, 3151193, None, 3151212, 3305472]",5,"[None, None, 3151208, None, None]",5,"[None, None, 30.46, None, None]",30.46,30.46,30.46,"[None, None, None, 3151212, 3305472]","[90, 90, 0, 90, 90]",0,72,90
18,3431427,9cf76385-c087-44ac-94ef-586873199046-00345c03,3305472,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00327000,0.1,3.2000000000000006,"[3145976, 3151193, 3151208, None, 3151375]",5,"[None, None, None, 3151212, None]",5,"[None, None, None, 1.6, None]",1.6,1.6,1.6,"[None, None, 3151208, None, 3151375]","[90, 90, 90, 0, 90]",0,72,90
19,3431429,9cf76385-c087-44ac-94ef-586873199046-00345c05,3151200,6019daee-c7da-42d3-8cc4-00f4173566ea-00301560,0.1,3.2000000000000006,"[3145976, 3151193, 3381406, None]",4,"[None, None, None, 3151208]",4,"[None, None, None, 0.92]",0.92,0.92,0.92,"[None, None, 3381406, None]","[90, 90, 90, 0]",0,67.5,90
20,3431429,9cf76385-c087-44ac-94ef-586873199046-00345c05,3381406,e9a37c3c-fcf4-498c-a529-6bee742c7c77-0033989e,0.25,3.2000000000000006,"[3145976, 3151193, 3151200, 3151208]",4,"[None, None, None, None]",4,"[None, None, None, None]",0,0,0,"[None, None, 3151200, 3151208]","[90, 90, 90, 90]",90,90,90
21,3431429,9cf76385-c087-44ac-94ef-586873199046-00345c05,3151208,6019daee-c7da-42d3-8cc4-00f4173566ea-00301568,0.1,3.2000000000000006,"[3145976, 3151193, None, 3381406]",4,"[None, None, 3151200, None]",4,"[None, None, 0.92, None]",0.92,0.92,0.92,"[None, None, None, 3381406]","[90, 90, 0, 90]",0,67.5,90
