,Unnamed: 0,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Window_width,Window_height,Nearest_elementIds,Distance_to_edges,ElementId_next_win,Distance_to_next_win_min,Distance_to_edges_min,Distance_to_edges_max
0,0,3431424,9cf76385-c087-44ac-94ef-586873199046-00345c00,3192705,d1d68eba-a899-4552-8b4e-b26a75c3a58f-0030b781,0.6249999999999998,2.499999999999997,"[3145976, 3145976, 3151193, 3151193, 3151413, 3151413, 3151389, 3151389]","[0.708, 3.238, 1.37, 2.0, 3.72, 3.1]",3192716.0,1.55,,
1,1,3431424,9cf76385-c087-44ac-94ef-586873199046-00345c00,3192716,d1d68eba-a899-4552-8b4e-b26a75c3a58f-0030b78c,1.099999999999999,2.499999999999997,"[3145976, 3145976, 3151193, 3151193, 3151413, 3151413, 3151389, 3151389]","[0.708, 3.238, 3.55, 4.65, 1.55, 0.45]",3192705.0,1.55,,
2,2,3431425,9cf76385-c087-44ac-94ef-586873199046-00345c01,3151459,6019daee-c7da-42d3-8cc4-00f4173566ea-00301663,1.099999999999999,2.499999999999997,"[3145976, 3145976, 3151193, 3151193, 3151227, 3151227, 3151235, 3151235]","[0.708, 3.238, 3.33, 4.43, 1.18, 0.08]",3151460.0,1.741,,
3,3,3431425,9cf76385-c087-44ac-94ef-586873199046-00345c01,3151460,6019daee-c7da-42d3-8cc4-00f4173566ea-00301664,1.099999999999999,2.499999999999997,"[3145976, 3145976, 3151193, 3151193, 3151227, 3151227, 3151235, 3151235]","[0.708, 3.238, 1.98, 3.08, 2.53, 1.43]",3151459.0,1.741,,
4,4,3431425,9cf76385-c087-44ac-94ef-586873199046-00345c01,3151461,6019daee-c7da-42d3-8cc4-00f4173566ea-00301665,1.099999999999999,2.499999999999997,"[3145976, 3145976, 3151193, 3151193, 3151227, 3151227, 3151235, 3151235]","[0.708, 3.238, 0.63, 1.73, 3.88, 2.78]",3151460.0,1.741,,
5,5,3431438,9cf76385-c087-44ac-94ef-586873199046-00345c0e,3151445,6019daee-c7da-42d3-8cc4-00f4173566ea-00301655,1.099999999999999,2.499999999999997,"[3145976, 3145976, 3151193, 3151193, 3151172, 3151172, 3151244, 3151244]","[0.708, 3.238, 1.93, 0.83, 9.53, 10.63]",3151446.0,1.741,,
6,6,3431438,9cf76385-c087-44ac-94ef-586873199046-00345c0e,3151446,6019daee-c7da-42d3-8cc4-00f4173566ea-00301656,1.099999999999999,2.499999999999997,"[3145976, 3145976, 3151193, 3151193, 3151172, 3151172, 3151244, 3151244]","[0.708, 3.238, 3.28, 2.18, 8.18, 9.28]",3151447.0,1.741,,
7,7,3431438,9cf76385-c087-44ac-94ef-586873199046-00345c0e,3151447,6019daee-c7da-42d3-8cc4-00f4173566ea-00301657,1.099999999999999,2.499999999999997,"[3145976, 3145976, 3151193, 3151193, 3151172, 3151172, 3151244, 3151244]","[0.708, 3.238, 4.63, 3.53, 6.83, 7.93]",3151446.0,1.741,,
8,8,3431438,9cf76385-c087-44ac-94ef-586873199046-00345c0e,3151448,6019daee-c7da-42d3-8cc4-00f4173566ea-00301658,1.099999999999999,2.499999999999997,"[3145976, 3145976, 3151193, 3151193, 3151172, 3151172, 3151244, 3151244]","[0.708, 3.238, 5.98, 4.88, 5.48, 6.58]",3151447.0,1.741,,
9,9,3431438,9cf76385-c087-44ac-94ef-586873199046-00345c0e,3151449,6019daee-c7da-42d3-8cc4-00f4173566ea-00301659,1.099999999999999,2.499999999999997,"[3145976, 3145976, 3151193, 3151193, 3151172, 3151172, 3151244, 3151244]","[0.708, 3.238, 7.33, 6.23, 4.13, 5.23]",3151448.0,1.741,,
10,10,3431438,9cf76385-c087-44ac-94ef-586873199046-00345c0e,3151450,6019daee-c7da-42d3-8cc4-00f4173566ea-0030165a,1.099999999999999,2.499999999999997,"[3145976, 3145976, 3151193, 3151193, 3151172, 3151172, 3151244, 3151244]","[0.708, 3.238, 8.68, 7.58, 2.78, 3.88]",3151451.0,1.741,,
11,11,3431438,9cf76385-c087-44ac-94ef-586873199046-00345c0e,3151451,6019daee-c7da-42d3-8cc4-00f4173566ea-0030165b,1.099999999999999,2.499999999999997,"[3145976, 3145976, 3151193, 3151193, 3151172, 3151172, 3151244, 3151244]","[0.708, 3.238, 10.03, 8.93, 1.43, 2.53]",3151450.0,1.741,,
