Room_name,Width,Height,Distance_to_parall_walls,Angles_to_walls
Administration,"[0.1384999999999999, 0.22615999999999997, 0.2999999999999999, 0.2]","[2.999999999999952, 3.479999999999998, 4.000000000000049, 2.999999999999952]","[10.431, 2.759, 0.109, 0.2]","[90.0, 68.75, 0.0, 90.0]"
Corridor,"[0.1384999999999999, 0.22801886792452822, 0.2999999999999999, 0.2]","[2.999999999999952, 3.4339622641509386, 4.000000000000049, 2.999999999999952]","[10.431, 2.759, 0.109, 0.2]","[90.0, 67.156, 0.0, 90.0]"
Kitchen,"[0.2, 0.2571428571428571, 0.2999999999999999, 0.2999999999999999]","[4.000000000000049, 4.000000000000049, 4.000000000000049, 4.000000000000049]","[10.431, 2.759, 0.109, 0.2]","[90.0, 70.8, 0.0, 90.0]"
Meeting room,"[0.1384999999999999, 0.22528571428571423, 0.2999999999999999, 0.2999999999999999]","[2.999999999999952, 3.5357142857142887, 4.000000000000049, 4.000000000000049]","[10.431, 2.759, 0.109, 0.2]","[90.0, 69.808, 0.0, 90.0]"
Office,"[0.1384999999999999, 0.2451333333333333, 0.2999999999999999, 0.2999999999999999]","[2.999999999999952, 3.4999999999999996, 4.000000000000049, 2.999999999999952]","[10.431, 2.759, 0.109, 0.2]","[90.0, 67.253, 0.0, 90.0]"
Service room,"[0.1384999999999999, 0.2483571428571428, 0.2999999999999999, 0.2999999999999999]","[2.999999999999952, 2.999999999999951, 2.999999999999952, 2.999999999999952]","[10.431, 2.759, 0.109, 0.2]","[90.0, 67.765, 0.0, 90.0]"
Stair,"[0.1384999999999999, 0.21184615384615382, 0.2999999999999999, 0.2]","[2.999999999999952, 3.5, 4.000000000000049, 2.999999999999952]","[10.431, 2.759, 0.109, 0.2]","[90.0, 71.087, 0.0, 90.0]"
Vest.,"[0.1384999999999999, 0.25976923076923064, 0.2999999999999999, 0.2999999999999999]","[2.999999999999952, 2.999999999999951, 2.999999999999952, 2.999999999999952]","[10.431, 2.759, 0.109, 0.2]","[90.0, 69.324, 0.0, 90.0]"
WC Men,"[0.079, 0.17799999999999996, 0.2999999999999999, 0.079]","[4.000000000000049, 4.000000000000049, 4.000000000000049, 4.000000000000049]","[10.431, 2.759, 0.109, 0.2]","[90.0, 72.237, 0.0, 90.0]"
WC Men Entr.,"[0.079, 0.1349333333333333, 0.2, 0.1384999999999999]","[2.999999999999952, 3.4999999999999996, 4.000000000000049, 2.999999999999952]","[10.431, 2.759, 0.109, 0.2]","[90.0, 71.083, 0.0, 90.0]"
WC Women,"[0.079, 0.20918918918918908, 0.2999999999999999, 0.2999999999999999]","[2.999999999999952, 3.459459459459455, 4.000000000000049, 2.999999999999952]","[10.431, 2.759, 0.109, 0.2]","[90.0, 70.979, 0.0, 90.0]"
WC Women Entr.,"[0.079, 0.17199999999999993, 0.2999999999999999, 0.1384999999999999]","[2.999999999999952, 3.5000000000000004, 4.000000000000049, 2.999999999999952]","[10.431, 2.759, 0.109, 0.2]","[90.0, 70.054, 0.0, 90.0]"
