ifcguid,head_height,type_ifcguid,classification
1W6Thknzf2qup40FGN1N2$,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2y,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2z,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2o,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2p,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2m,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2n,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2s,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2t,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2q,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2r,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2A,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2B,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N28,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N29,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2E,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1W6Thknzf2qup40FGN1N2F,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$r9,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$r6,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$r7,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$r4,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$r5,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$r2,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$r3,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$r0,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$r1,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$rU,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$rV,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$rS,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$rT,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$rQ,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$rR,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$rO,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$rP,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9b,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9Y,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9Z,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9W,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9X,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9_,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9$,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9y,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9z,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9w,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9x,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9u,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9v,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9s,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9t,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9q,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2_414Bjl90PPXdZA2Pm$9r,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryn8E,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryn8D,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryn8C,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryn8B,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryn8A,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryn89,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryn87,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
3Hrewwg9b5KejEicfryn86,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
3Hrewwg9b5KejEicfryn85,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
3Hrewwg9b5KejEicfryn84,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
3Hrewwg9b5KejEicfryn83,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryntE,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryntD,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryntC,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryntB,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryntA,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfrynt9,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfrynt7,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
3Hrewwg9b5KejEicfrynt6,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
3Hrewwg9b5KejEicfrynt5,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
3Hrewwg9b5KejEicfrynt4,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
3Hrewwg9b5KejEicfrynt3,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryntS,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryntR,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryntQ,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryntP,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryntO,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryntN,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
3Hrewwg9b5KejEicfryntL,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
3Hrewwg9b5KejEicfryntK,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
3Hrewwg9b5KejEicfryntJ,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
3Hrewwg9b5KejEicfryntI,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
3Hrewwg9b5KejEicfryntH,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgI0,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgI1,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgI6,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgI7,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgI4,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgI5,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgIA,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgIB,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgI8,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgI9,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgIE,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgIF,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgIC,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgID,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgII,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgIJ,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgIG,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgIH,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
1$oxVaKhLDJu2CngOBCgIM,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2oYfzFLJ59C8QsPhkcw7U$,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2oYfzFLJ59C8QsPhkcw7Uz,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2oYfzFLJ59C8QsPhkcw7Ux,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2oYfzFLJ59C8QsPhkcw7Uu,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
2oYfzFLJ59C8QsPhkcw7Ut,2.4999999999999996,2d0AoZmM16we_DBop$qt4w,Element_Window
2oYfzFLJ59C8QsPhkcw7Uq,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2oYfzFLJ59C8QsPhkcw7Ur,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
2oYfzFLJ59C8QsPhkcw7Uo,2.4999999999999996,2d0AoZmM16we_DBop$qsiw,Element_Window
